,Rank,Country,2019,2018,2017,2016,2015
0,1.0,Russia,7017657,5964631,4715438,866256,3649003
1,2.0,Germany,5027472,4512360,3584653,3890074,5580792
2,3.0,Bulgaria,2713464,2386885,1852867,1690766,1821480
3,4.0,United Kingdom,2562064,2254871,1658715,1711481,2512139
4,5.0,Iran,2102890,2001744,2501948,1665160,1700385
5,6.0,Georgia,1995254,2069392,2438730,2206266,1911832
6,7.0,Ukraine,1547996,1386934,1284735,1045043,706551
7,8.0,Iraq,1374896,1172896,896876,420831,1094144
8,9.0,Netherlands,1117290,1013642,799006,906336,1232487
9,10.0,Azerbaijan,901723,858506,765514,606223,602488
10,11.0,Poland,880839,646365,296120,205701,550779
11,12.0,France,875957,731379,578524,555151,847259
12,13.0,Greece,836882,686891,623705,593150,755414
13,14.0,Romania,763320,641484,423868,357473,441097
14,15.0,United States,578074,448327,329257,459493,798787
15,16.0,Israel,569368,443732,380415,293988,224568
16,17.0,Saudi Arabia,564816,747233,651170,530410,450674
17,18.0,Belgium,557435,511559,419998,413614,617406
18,19.0,Jordan,474874,406469,277729,203179,162866
19,20.0,Kazakhstan,455724,426916,402830,240188,423744
20,21.0,Sweden,444285,384397,289134,320580,624649
21,22.0,China,426344,394109,247277,167570,313704
22,23.0,Austria,401475,353628,287746,310946,486044
23,24.0,Italy,377011,284195,205788,213227,507897
24,25.0,Lebanon,376721,338837,237476,191642,197552
25,26.0,Kuwait,374191,298620,255644,179938,174486
26,27.0,Denmark,335877,326278,269026,329618,408841
27,28.0,Czech Republic,311359,228251,126567,87328,212464
28,29.0,Switzerland,311107,269649,206479,215194,380338
29,30.0,Turkmenistan,297706,252911,230881,165762,174330
30,31.0,Algeria,295512,288207,213333,176233,171873
31,32.0,Serbia,282347,225312,146852,110594,178997
32,33.0,Cyprus,268341,266859,256059,233181,246245
33,34.0,Libya,259243,188312,99395,72014,234762
34,35.0,Belarus,258419,245254,229229,113793,204355
35,36.0,Spain,257342,178018,106757,106582,236063
36,37.0,Uzbekistan,252138,241235,195745,134330,143331
37,38.0,Morocco,234264,176538,114155,87660,109775
38,39.0,India,230131,147127,86996,79316,131869
39,40.0,Lithuania,229704,199371,134264,109749,112654
40,,Total,51747198,46112592,37969824,30906680,41114069
